Sl. No.,topic_number,lesson_code,lesson_title,conceptual_focus,lesson_description,skill_emphasis,assessment_context,difficulty_level,learning_outcome,content_type,title,content
319,SL 4.6,SL 4.6a,Conditional Probability,Understanding conditional probability and its applications.,"Students learn about conditional probability P(A|B), understand the concept of independence, and apply conditional probability to solve problems.","Understand, apply, solve",Paper 1 (conditional probability),6 / 10,Students should be able to understand and apply conditional probability concepts.,formulas,Conditional Probability Formula,Probability of $A$ given $B$ occurred: $$P(A|B) = \frac{P(A \cap B)}{P(B)}$$ Product rule: $$P(A \cap B) = P(A|B) \times P(B)$$ Independence: $P(A|B) = P(A)$ (if independent) Then: $P(A \cap B) = P(A) \times P(B)$
321,SL 4.6,SL 4.6b,Independent and Dependent Events,Understanding independent and dependent events in probability.,"Students learn to identify independent and dependent events, understand their properties, and apply this knowledge to solve probability problems.","Identify, understand, apply",Paper 1 (independent dependent events),6 / 10,Students should be able to identify and work with independent and dependent events.,formulas,Independence Test,Events $A$ and $B$ are independent if: $$P(A \cap B) = P(A) \times P(B)$$ Equivalently: $P(A|B) = P(A)$ Dependent: outcome of one affects other With replacement: independent Without replacement: dependent Example: Two coin flips: independent. Two cards without replacement: dependent
323,SL 4.6,SL 4.6c,Combined Probability Problems,Solving complex probability problems involving multiple events.,"Students learn to solve problems involving combinations of events, use tree diagrams and other methods, and apply probability rules to complex situations.","Solve, use, apply",Paper 1 (combined probability),6 / 10,Students should be able to solve complex probability problems involving multiple events.,formulas,Tree Diagram Method,"Multi-stage events: Branch for each outcome Multiply along paths Add across paths for total probability Example: P(two heads in 3 flips) Paths: HHH, HHT, HTH, THH Each: $(1/2)^3 = 1/8$ Total: $4 \times 1/8 = 1/2$"
325,SL 4.7,SL 4.7a,Discrete Random Variables,Understanding discrete random variables and their properties.,"Students learn about discrete random variables, probability distributions, and how to calculate expected values and variance for discrete distributions.","Understand, calculate, analyze",Paper 1 (discrete random variables),6 / 10,Students should be able to understand and work with discrete random variables.,formulas,Discrete Random Variable,"Random variable $X$: function from outcomes to numbers Probability distribution: $P(X = x_i)$ for all values Properties: $$\sum P(X = x_i) = 1$$ $$P(X = x_i) \geq 0$$ Example: Sum of two dice, $X \in \{2, 3, ..., 12\}$ with different probabilities"
327,SL 4.7,SL 4.7b,Continuous Random Variables,Understanding continuous random variables and their properties.,"Students learn about continuous random variables, probability density functions, and how to work with continuous probability distributions.","Understand, work, analyze",Paper 1 (continuous random variables),6 / 10,Students should be able to understand and work with continuous random variables.,formulas,Continuous Random Variables,PDF: $f(x) \geq 0$ and $\int_{-\infty}^{\infty} f(x)dx = 1$ Probability: $$P(a < X < b) = \int_a^b f(x)dx$$ (area under curve) $P(X = c) = 0$ (exact value has zero probability!) CDF: $F(x) = P(X \leq x) = \int_{-\infty}^x f(t)dt$
329,SL 4.7,SL 4.7c,Expected Value and Variance,Understanding expected value and variance for random variables.,"Students learn to calculate expected value E(X) and variance Var(X) for both discrete and continuous random variables, and understand their significance.","Calculate, understand, analyze",Paper 1 (expected value variance),6 / 10,Students should be able to calculate and understand expected value and variance for random variables.,formulas,Expected Value and Variance,Discrete: $$E(X) = \sum x_i P(X = x_i)$$ $$\text{Var}(X) = E(X^2) - [E(X)]^2$$ Continuous: $$E(X) = \int_{-\infty}^{\infty} x f(x)dx$$ $$\text{Var}(X) = E(X^2) - [E(X)]^2$$ Standard deviation: $SD(X) = \sqrt{\text{Var}(X)}$
331,SL 4.8,SL 4.8a,Binomial Distribution,Understanding the binomial distribution and its properties.,"Students learn about the binomial distribution, understand its parameters n and p, and learn to calculate probabilities using the binomial formula.","Understand, calculate, apply",Paper 1 (binomial distribution),6 / 10,Students should be able to understand and work with the binomial distribution.,formulas,Binomial Distribution,"$X \sim B(n, p)$ where $n$ = trials, $p$ = success probability Conditions: fixed $n$, independent trials, two outcomes, constant $p$ $$P(X = k) = \binom{n}{k}p^k(1-p)^{n-k}$$ Mean: $E(X) = np$ Variance: $\text{Var}(X) = np(1-p)$"
333,SL 4.8,SL 4.8b,Binomial Probability Calculations,Calculating probabilities using the binomial distribution.,"Students learn to calculate binomial probabilities using the formula P(X = k) = C(n,k) × p^k × (1-p)^(n-k), and use technology for calculations.","Calculate, use, apply",Paper 1 (binomial calculations),6 / 10,Students should be able to calculate binomial probabilities using appropriate methods.,formulas,Binomial Calculations,"$$P(X = k) = \binom{n}{k}p^k(1-p)^{n-k}$$ Cumulative: $P(X \leq k) = \sum_{i=0}^k P(X = i)$ GDC functions: binompdf (single value), binomcdf (cumulative) Example: 10 coin flips, P(exactly 6 heads): $$P(X = 6) = \binom{10}{6}(0.5)^{10} = 0.205$$"
335,SL 4.8,SL 4.8c,Binomial Distribution Applications,Applying the binomial distribution to solve real-world problems.,"Students learn to identify situations that follow a binomial distribution, model real-world problems, and solve problems involving binomial probabilities.","Identify, model, solve",Paper 1 (binomial applications),6 / 10,Students should be able to apply the binomial distribution to solve real-world problems.,formulas,Binomial Application Template,"Identify: $n$ = number of trials, $p$ = probability of success Model: $X \sim B(n, p)$ Calculate: $P(X = k)$, $P(X \leq k)$, etc. Interpret: in context Example: Quality control—10% defective, sample 20, P(at most 2 defective) = $P(X \leq 2)$ where $X \sim B(20, 0.1)$"
337,SL 4.9,SL 4.9a,Normal Distribution,Understanding the normal distribution and its properties.,"Students learn about the normal distribution, understand its bell-shaped curve, and learn about the parameters μ (mean) and σ (standard deviation).","Understand, learn, analyze",Paper 1 (normal distribution),6 / 10,Students should be able to understand the normal distribution and its properties.,formulas,Normal Distribution,"$$X \sim N(\mu, \sigma^2)$$ PDF: $$f(x) = \frac{1}{\sigma\sqrt{2\pi}}e^{-\frac{(x-\mu)^2}{2\sigma^2}}$$ Bell-shaped, symmetric about $\mu$ Parameters: $\mu$ = mean (center), $\sigma$ = standard deviation (spread) 68-95-99.7 rule: 68% within $\mu \pm \sigma$, 95% within $\mu \pm 2\sigma$"
339,SL 4.9,SL 4.9b,Standard Normal Distribution,Understanding the standard normal distribution and z-scores.,"Students learn about the standard normal distribution (μ = 0, σ = 1), understand z-scores, and learn to use standard normal tables or technology.","Understand, learn, use",Paper 1 (standard normal),6 / 10,Students should be able to understand and work with the standard normal distribution.,formulas,Standard Normal and Z-Scores,"Standard normal: $Z \sim N(0, 1)$ z-score (standardization): $$z = \frac{x - \mu}{\sigma}$$ Converts any normal to standard normal Use: $P(X < a) = P(Z < \frac{a-\mu}{\sigma})$ Tables/GDC give standard normal probabilities"
341,SL 4.9,SL 4.9c,Normal Distribution Applications,Applying the normal distribution to solve real-world problems.,"Students learn to apply the normal distribution to model real-world situations, solve problems involving normal probabilities, and understand the 68-95-99.7 rule.","Apply, solve, understand",Paper 1 (normal applications),6 / 10,Students should be able to apply the normal distribution to solve real-world problems.,formulas,Normal Probability Calculations,"If $X \sim N(\mu, \sigma^2)$: 1. Standardize: $z = \frac{x - \mu}{\sigma}$ 2. Use GDC or table for $P(Z < z)$ 3. Adjust for required probability Example: $X \sim N(100, 15^2)$, find $P(X > 115)$ $z = \frac{115-100}{15} = 1$ $P(X > 115) = 1 - P(Z < 1) = 1 - 0.8413 = 0.1587$"
343,SL 4.10,SL 4.10a,Advanced Correlation Analysis,Understanding advanced correlation analysis and its applications.,"Students learn about different types of correlation, understand correlation vs causation, and learn to interpret correlation results in context.","Understand, interpret, analyze",Paper 1 (advanced correlation),6 / 10,Students should be able to understand and interpret advanced correlation analysis.,formulas,Correlation Analysis Tools,Pearson correlation $r$: linear relationships Spearman rank: monotonic (not necessarily linear) $r^2$: coefficient of determination (variance explained) Significance testing: is correlation statistically significant? Outlier influence: robust vs sensitive measures
345,SL 4.10,SL 4.10b,Regression Analysis,Understanding regression analysis and its applications.,"Students learn about regression analysis, understand the assumptions of linear regression, and learn to interpret regression results and residuals.","Understand, interpret, analyze",Paper 1 (regression analysis),6 / 10,Students should be able to understand and interpret regression analysis results.,formulas,Regression Diagnostics,"Residuals: $e_i = y_i - \hat{y}_i$ (observed - predicted) Residual plot: check for patterns Good fit: random scatter, no pattern Bad fit: curved pattern, increasing spread $r^2$: proportion of variance explained Assumptions: linearity, constant variance, normality of residuals"
347,SL 4.10,SL 4.10c,Correlation and Regression Applications,Applying correlation and regression analysis to solve problems.,"Students learn to apply correlation and regression analysis to real-world problems, understand limitations, and make appropriate conclusions.","Apply, understand, conclude",Paper 1 (correlation regression applications),6 / 10,Students should be able to apply correlation and regression analysis to solve problems.,formulas,Prediction and Interpretation,"Use regression for prediction: $\hat{y} = a + bx$ Slope $b$: change in $y$ per unit $x$ Interpret $r^2$: % variance explained Caution: within data range only Assess: residual plot, $r$ value, context Example: Predict sales from advertising spend"
349,SL 4.11,SL 4.11a,Advanced Conditional Probability,Understanding advanced conditional probability concepts and applications.,"Students learn about Bayes theorem, understand more complex conditional probability problems, and apply these concepts to solve problems.","Learn, understand, apply",Paper 1 (advanced conditional probability),6 / 10,Students should be able to understand and apply advanced conditional probability concepts.,formulas,Bayes' Theorem,"$$P(A|B) = \frac{P(B|A) \times P(A)}{P(B)}$$ Or with partition: $$P(A_i|B) = \frac{P(B|A_i)P(A_i)}{\sum_j P(B|A_j)P(A_j)}$$ Reverses conditional: from $P(B|A)$ get $P(A|B)$ Example: Medical test, find P(disease|positive)"
351,SL 4.11,SL 4.11b,Probability Trees and Diagrams,Using probability trees and diagrams to solve complex problems.,"Students learn to create and use probability trees, Venn diagrams, and other visual aids to solve complex probability problems.","Create, use, solve",Paper 1 (probability trees),6 / 10,Students should be able to create and use probability trees and diagrams to solve problems.,formulas,Visual Probability Tools,"Tree diagram: branches for outcomes, probabilities on edges Venn diagram: overlapping circles for events, regions for intersections Two-way table: rows × columns for two variables Multiply along branches, add across branches for total Example: Two draws without replacement—tree shows changing probabilities"
353,SL 4.11,SL 4.11c,Advanced Probability Applications,Applying advanced probability concepts to solve complex problems.,"Students learn to apply advanced probability concepts to solve complex real-world problems, including problems involving multiple events and conditions.","Apply, solve, model",Paper 1 (advanced probability applications),6 / 10,Students should be able to apply advanced probability concepts to solve complex problems.,formulas,Complex Probability Models,"Combining concepts: conditional, Bayes, trees, independence Multi-stage experiments: tree + product rule Medical diagnosis: Bayes + sensitivity/specificity Sequential sampling: hypergeometric, changing probabilities Risk analysis: combining multiple failure modes"
355,SL 4.12,SL 4.12a,Standardization and Z-Scores,Understanding standardization and z-scores in normal distributions.,"Students learn to standardize normal distributions, understand z-scores, and use standardization to solve problems involving normal distributions.","Learn, understand, use",Paper 1 (standardization z-scores),6 / 10,Students should be able to understand and use standardization and z-scores.,formulas,Standardization Process,"For $X \sim N(\mu, \sigma^2)$, standardize: $$Z = \frac{X - \mu}{\sigma} \sim N(0, 1)$$ Back-transform: $$X = \mu + \sigma Z$$ Percentile to value: Find $z$ from table/GDC, then $x = \mu + \sigma z$ Example: 90th percentile, $z \approx 1.28$"
